video_id,viewCount,likeCount,commentCount,total_comments_likes,licensed,duration,video_age_days,weighted_sentiment,subscriber_count,video_count,view_count,channel_age_days,category_Autos & Vehicles,category_Comedy,category_Education,category_Entertainment,category_Film & Animation,category_Gaming,category_Howto & Style,category_Music,category_News & Politics,category_People & Blogs,category_Pets & Animals,category_Science & Technology,category_Sports,category_Travel & Events,cluster
qtlUwwtvuEg,-0.025961571918325894,-0.01724631294250598,0.021028451839549944,-0.09612502907804212,1.0807404868885035,0.05994717502001327,-0.6328192796984442,1.5188786197215163,-0.2843229529691496,-0.23194055382539316,-0.26046690293318026,-1.3397157352158466,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,0
QaoDXYYtgK0,1.8058088082787647,0.37927039812668845,2.7836636298688884,2.748874664117435,-0.9252915127470066,-0.3420244798215949,1.8886570305536312,-1.061387841148494,-0.287248188572011,-0.23635644156533572,-0.25812074448790784,-0.008348416674498767,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,4.9084205802470295,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,-1
PqDwddEHswU,-0.09922728401240007,-0.09775524577490104,-0.1501785063821353,-0.10292866332682503,-0.9252915127470066,-0.12483979466836781,0.265734450682,0.24272713085776557,-0.1800393713313758,-0.14880666724299654,-0.21277597558500574,1.906056805435655,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,1.4324111846120866,-0.019213013923474496,-0.06085806194501845,3
B-Y7rnOa43w,-0.18283447986684462,-0.13139793797553023,-0.1665548241250791,-0.1077312286789071,1.0807404868885035,-0.376522047214718,-0.6039886787236706,1.4169693462196578,-0.27832301717057994,-0.2074291769500599,-0.25677554135081654,-1.0112586482463644,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,1.4324111846120866,-0.019213013923474496,-0.06085806194501845,1
vyit-1zKsZ4,-0.1173899984515542,-0.1057098085728806,-0.12635840784694433,-0.0965652642353163,1.0807404868885035,0.12204279632763483,-0.4670433240934959,-0.19357579840957428,0.9257850948889985,-0.19958937625233583,0.4119095654963188,-0.16407321680727918,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,0
MWNqE4z2C34,-0.1812952767895972,-0.13342671637721676,-0.16556232001944615,-0.10765118592303906,1.0807404868885035,0.053047661541388645,0.0014539417465752344,-0.5456898112390741,-0.11598311725411911,-0.008714228652645333,-0.17531525330157502,-0.6774867216819067,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,0
SWeQO2SEOmQ,-0.18391298516962812,-0.13526575291399737,-0.16804358028352856,-0.1077312286789071,-0.9252915127470066,-0.3612231260229852,1.7493091258422253,-0.7412639329201425,-0.2912734835782258,-0.2360684488866438,-0.26220268739143604,-0.15025463386034305,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,2
pRC4M5Na3jM,-0.17302811429065926,-0.1346527407350705,-0.16605857207226263,-0.10769120730097308,-0.9252915127470066,-0.3321251778740031,-0.44902419848426245,-0.6719240782149086,-0.27473586694225355,-0.011818149745213644,-0.2493698525480107,-0.4330041003130365,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,2
ax-3m4GSa1c,-0.1834174397429932,-0.13493005576839454,-0.16705107617789558,-0.1077312286789071,-0.9252915127470066,1.2367641913958556,0.24531277499153537,2.7226312346175945,-0.29119127805216,-0.23334851803233136,-0.26218268471797085,-0.8236448105437314,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,-1
_8fDMmnDyYQ,-0.18426677743488953,-0.13533873055434578,-0.16705107617789558,-0.10769120730097308,-0.9252915127470066,-0.23193224301049775,-1.2046261990314542,-0.6967694263499056,-0.29124999628506415,-0.1754299904287371,-0.26213425986584443,-1.060686656479636,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,2
GyGp98vvEqA,-0.18418408809075498,-0.13530953949820643,-0.16804358028352856,-0.1077312286789071,-0.9252915127470066,0.534813689657525,-1.1757955980566805,-0.7412639329201425,-0.2900453116667179,-0.2078451663748371,-0.26185711085680224,0.06446488577666477,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,4
aC-EfNvuznc,-0.16225428338809966,-0.11851008668999635,-0.1665548241250791,-0.10769120730097308,-0.9252915127470066,-0.37172238566437044,-1.0124221925329635,-0.6862880989125125,-0.2861805843373901,-0.22054884342380227,-0.25956508365334247,-1.1547593173107014,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,2
jnnj6Fd2ym0,1.909418556479357,1.7402158174566096,2.861078950108259,0.3487125866585585,-0.9252915127470066,-0.11524047156767268,-0.6448320301045999,-0.05757272431071419,5.794060404760505,-0.21629295161646633,1.7129139767768315,0.7628348085564377,-0.07945226528063898,-0.03844732240543962,-0.7436454773536505,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,2.4066532674805248,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,-1
MH4yvtgAR-4,-0.15167595372060103,-0.12469859059154376,-0.15662978306874953,-0.10689077974229273,-0.9252915127470066,0.25253359472770914,0.24531277499153537,1.5582370172923508,-0.1586872866389569,-0.15639047444855003,-0.22873670412102687,1.3315226452188098,-0.07945226528063898,-0.03844732240543962,1.344726795836394,-0.2037315229310835,-0.0720616287512219,-0.07706571208529162,-0.10400413155653024,-0.06384029722254403,-0.2776806048016117,-0.41551477876448695,-0.0271763212599322,-0.6981235630820708,-0.019213013923474496,-0.06085806194501845,-1
